"Chamber","Temp","Geno","Tray","Phos","thickness"
"C2","Hot","g1","T1","High",2.51
"C4","Hot","g1","T1","High",2.9
"C1","Cool","g1","T1","High",2.7
"C3","Cool","g1","T1","High",2.35
"C2","Hot","g2","T1","High",2.87
"C4","Hot","g2","T1","High",3.07
"C1","Cool","g2","T1","High",2.81
"C3","Cool","g2","T1","High",3.48
"C2","Hot","g3","T1","High",2.98
"C4","Hot","g3","T1","High",2.79
"C1","Cool","g3","T1","High",2.59
"C3","Cool","g3","T1","High",3.17
"C2","Hot","g4","T1","High",3.16
"C4","Hot","g4","T1","High",2.84
"C1","Cool","g4","T1","High",2.87
"C3","Cool","g4","T1","High",3.51
"C2","Hot","g5","T1","High",2.52
"C4","Hot","g5","T1","High",2.35
"C1","Cool","g5","T1","High",3.12
"C3","Cool","g5","T1","High",3.12
"C2","Hot","g6","T1","High",1.98
"C4","Hot","g6","T1","High",2.56
"C1","Cool","g6","T1","High",1.64
"C3","Cool","g6","T1","High",2.88
"C2","Hot","g7","T1","High",3.6
"C4","Hot","g7","T1","High",2.83
"C1","Cool","g7","T1","High",2.48
"C3","Cool","g7","T1","High",3.33
"C2","Hot","g8","T1","High",2.66
"C4","Hot","g8","T1","High",3.88
"C1","Cool","g8","T1","High",2.8
"C3","Cool","g8","T1","High",3.29
"C2","Hot","g9","T1","High",2.87
"C4","Hot","g9","T1","High",2.74
"C1","Cool","g9","T1","High",2.84
"C3","Cool","g9","T1","High",2.22
"C2","Hot","g1","T2","High",3.15
"C4","Hot","g1","T2","High",2.8
"C1","Cool","g1","T2","High",3.61
"C3","Cool","g1","T2","High",3.11
"C2","Hot","g2","T2","High",2.75
"C4","Hot","g2","T2","High",3.48
"C1","Cool","g2","T2","High",2.46
"C3","Cool","g2","T2","High",2.52
"C2","Hot","g3","T2","High",2.79
"C4","Hot","g3","T2","High",2.68
"C1","Cool","g3","T2","High",2.7
"C3","Cool","g3","T2","High",2.92
"C2","Hot","g4","T2","High",2.69
"C4","Hot","g4","T2","High",2.89
"C1","Cool","g4","T2","High",3.11
"C3","Cool","g4","T2","High",3.84
"C2","Hot","g5","T2","High",1.58
"C4","Hot","g5","T2","High",2.64
"C1","Cool","g5","T2","High",2.9
"C3","Cool","g5","T2","High",3.39
"C2","Hot","g6","T2","High",2.11
"C4","Hot","g6","T2","High",2.57
"C1","Cool","g6","T2","High",2.21
"C3","Cool","g6","T2","High",2.08
"C2","Hot","g7","T2","High",3.29
"C4","Hot","g7","T2","High",3.45
"C1","Cool","g7","T2","High",3.19
"C3","Cool","g7","T2","High",3.75
"C2","Hot","g8","T2","High",2.94
"C4","Hot","g8","T2","High",2.38
"C1","Cool","g8","T2","High",2.58
"C3","Cool","g8","T2","High",2.51
"C2","Hot","g9","T2","High",2.66
"C4","Hot","g9","T2","High",2.79
"C1","Cool","g9","T2","High",2.78
"C3","Cool","g9","T2","High",2.58
"C2","Hot","g1","T3","High",2.62
"C4","Hot","g1","T3","High",2.47
"C1","Cool","g1","T3","High",3.44
"C3","Cool","g1","T3","High",3.2
"C2","Hot","g2","T3","High",3.41
"C4","Hot","g2","T3","High",3.39
"C1","Cool","g2","T3","High",3.52
"C3","Cool","g2","T3","High",2.77
"C2","Hot","g3","T3","High",2.48
"C4","Hot","g3","T3","High",3.44
"C1","Cool","g3","T3","High",2.43
"C3","Cool","g3","T3","High",2.8
"C2","Hot","g4","T3","High",2.77
"C4","Hot","g4","T3","High",2.99
"C1","Cool","g4","T3","High",3.05
"C3","Cool","g4","T3","High",3.56
"C2","Hot","g5","T3","High",2.13
"C4","Hot","g5","T3","High",2.19
"C1","Cool","g5","T3","High",3.31
"C3","Cool","g5","T3","High",2.87
"C2","Hot","g6","T3","High",2.16
"C4","Hot","g6","T3","High",2.38
"C1","Cool","g6","T3","High",2.4
"C3","Cool","g6","T3","High",2.27
"C2","Hot","g7","T3","High",2.78
"C4","Hot","g7","T3","High",2.7
"C1","Cool","g7","T3","High",2.77
"C3","Cool","g7","T3","High",3.12
"C2","Hot","g8","T3","High",2.47
"C4","Hot","g8","T3","High",3.12
"C1","Cool","g8","T3","High",2.2
"C3","Cool","g8","T3","High",3.14
"C2","Hot","g9","T3","High",2.23
"C4","Hot","g9","T3","High",2.92
"C1","Cool","g9","T3","High",2.55
"C3","Cool","g9","T3","High",2.69
"C2","Hot","g1","T4","High",2.53
"C4","Hot","g1","T4","High",1.96
"C1","Cool","g1","T4","High",3.2
"C3","Cool","g1","T4","High",2.23
"C2","Hot","g2","T4","High",2.85
"C4","Hot","g2","T4","High",2.77
"C1","Cool","g2","T4","High",2.53
"C3","Cool","g2","T4","High",3.88
"C2","Hot","g3","T4","High",2.68
"C4","Hot","g3","T4","High",2.33
"C1","Cool","g3","T4","High",2.03
"C3","Cool","g3","T4","High",3.07
"C2","Hot","g4","T4","High",2.93
"C4","Hot","g4","T4","High",2.99
"C1","Cool","g4","T4","High",2.78
"C3","Cool","g4","T4","High",2.75
"C2","Hot","g5","T4","High",1.77
"C4","Hot","g5","T4","High",2.8
"C1","Cool","g5","T4","High",2.51
"C3","Cool","g5","T4","High",2.39
"C2","Hot","g6","T4","High",2.99
"C4","Hot","g6","T4","High",2.59
"C1","Cool","g6","T4","High",2.01
"C3","Cool","g6","T4","High",2.73
"C2","Hot","g7","T4","High",3.15
"C4","Hot","g7","T4","High",2.73
"C1","Cool","g7","T4","High",3.81
"C3","Cool","g7","T4","High",2.99
"C2","Hot","g8","T4","High",2.13
"C4","Hot","g8","T4","High",2.84
"C1","Cool","g8","T4","High",2.9
"C3","Cool","g8","T4","High",3.95
"C2","Hot","g9","T4","High",2.9
"C4","Hot","g9","T4","High",3.23
"C1","Cool","g9","T4","High",2.73
"C3","Cool","g9","T4","High",2.82
"C2","Hot","g1","T5","High",2.54
"C4","Hot","g1","T5","High",3.06
"C1","Cool","g1","T5","High",3.57
"C3","Cool","g1","T5","High",3.33
"C2","Hot","g2","T5","High",3.54
"C4","Hot","g2","T5","High",2.73
"C1","Cool","g2","T5","High",3.24
"C3","Cool","g2","T5","High",3.12
"C2","Hot","g3","T5","High",2.07
"C4","Hot","g3","T5","High",3.07
"C1","Cool","g3","T5","High",2.63
"C3","Cool","g3","T5","High",3.49
"C2","Hot","g4","T5","High",2.62
"C4","Hot","g4","T5","High",2.95
"C1","Cool","g4","T5","High",2.79
"C3","Cool","g4","T5","High",3.28
"C2","Hot","g5","T5","High",2.37
"C4","Hot","g5","T5","High",2.09
"C1","Cool","g5","T5","High",3.1
"C3","Cool","g5","T5","High",2.46
"C2","Hot","g6","T5","High",1.8
"C4","Hot","g6","T5","High",3.01
"C1","Cool","g6","T5","High",1.69
"C3","Cool","g6","T5","High",2.47
"C2","Hot","g7","T5","High",2.64
"C4","Hot","g7","T5","High",3.15
"C1","Cool","g7","T5","High",3.59
"C3","Cool","g7","T5","High",3.75
"C2","Hot","g8","T5","High",2.58
"C4","Hot","g8","T5","High",1.97
"C1","Cool","g8","T5","High",3.84
"C3","Cool","g8","T5","High",3.28
"C2","Hot","g9","T5","High",3.08
"C4","Hot","g9","T5","High",3.04
"C1","Cool","g9","T5","High",2.97
"C3","Cool","g9","T5","High",2.89
"C2","Hot","g1","T6","Low",2.97
"C4","Hot","g1","T6","Low",2.82
"C1","Cool","g1","T6","Low",2.4
"C3","Cool","g1","T6","Low",3.56
"C2","Hot","g2","T6","Low",3.95
"C4","Hot","g2","T6","Low",3.39
"C1","Cool","g2","T6","Low",2.61
"C3","Cool","g2","T6","Low",3.58
"C2","Hot","g3","T6","Low",2.87
"C4","Hot","g3","T6","Low",2.37
"C1","Cool","g3","T6","Low",2.92
"C3","Cool","g3","T6","Low",2.85
"C2","Hot","g4","T6","Low",3.04
"C4","Hot","g4","T6","Low",2.9
"C1","Cool","g4","T6","Low",4.15
"C3","Cool","g4","T6","Low",3.47
"C2","Hot","g5","T6","Low",1.94
"C4","Hot","g5","T6","Low",2.87
"C1","Cool","g5","T6","Low",3.26
"C3","Cool","g5","T6","Low",2.94
"C2","Hot","g6","T6","Low",1.87
"C4","Hot","g6","T6","Low",2.97
"C1","Cool","g6","T6","Low",3.15
"C3","Cool","g6","T6","Low",3.09
"C2","Hot","g7","T6","Low",3.03
"C4","Hot","g7","T6","Low",3.49
"C1","Cool","g7","T6","Low",2.7
"C3","Cool","g7","T6","Low",3.83
"C2","Hot","g8","T6","Low",3.13
"C4","Hot","g8","T6","Low",3.61
"C1","Cool","g8","T6","Low",3.66
"C3","Cool","g8","T6","Low",3.52
"C2","Hot","g9","T6","Low",2.94
"C4","Hot","g9","T6","Low",3.96
"C1","Cool","g9","T6","Low",2.39
"C3","Cool","g9","T6","Low",3.17
"C2","Hot","g1","T7","Low",2.69
"C4","Hot","g1","T7","Low",2.91
"C1","Cool","g1","T7","Low",3.38
"C3","Cool","g1","T7","Low",3.21
"C2","Hot","g2","T7","Low",3.5
"C4","Hot","g2","T7","Low",3.49
"C1","Cool","g2","T7","Low",3.02
"C3","Cool","g2","T7","Low",3.6
"C2","Hot","g3","T7","Low",3.36
"C4","Hot","g3","T7","Low",2.1
"C1","Cool","g3","T7","Low",3.15
"C3","Cool","g3","T7","Low",3.26
"C2","Hot","g4","T7","Low",3.01
"C4","Hot","g4","T7","Low",3.76
"C1","Cool","g4","T7","Low",3.25
"C3","Cool","g4","T7","Low",3.49
"C2","Hot","g5","T7","Low",2.95
"C4","Hot","g5","T7","Low",3.49
"C1","Cool","g5","T7","Low",3.26
"C3","Cool","g5","T7","Low",3.17
"C2","Hot","g6","T7","Low",2.56
"C4","Hot","g6","T7","Low",3.1
"C1","Cool","g6","T7","Low",2.54
"C3","Cool","g6","T7","Low",3.01
"C2","Hot","g7","T7","Low",3.24
"C4","Hot","g7","T7","Low",2.91
"C1","Cool","g7","T7","Low",4.27
"C3","Cool","g7","T7","Low",3.44
"C2","Hot","g8","T7","Low",3.59
"C4","Hot","g8","T7","Low",2.38
"C1","Cool","g8","T7","Low",3.54
"C3","Cool","g8","T7","Low",2.89
"C2","Hot","g9","T7","Low",3.67
"C4","Hot","g9","T7","Low",3.64
"C1","Cool","g9","T7","Low",3.04
"C3","Cool","g9","T7","Low",3.94
"C2","Hot","g1","T8","Low",2.51
"C4","Hot","g1","T8","Low",2.74
"C1","Cool","g1","T8","Low",2.55
"C3","Cool","g1","T8","Low",2.88
"C2","Hot","g2","T8","Low",3.72
"C4","Hot","g2","T8","Low",3.7
"C1","Cool","g2","T8","Low",3.54
"C3","Cool","g2","T8","Low",3.16
"C2","Hot","g3","T8","Low",3.05
"C4","Hot","g3","T8","Low",3.18
"C1","Cool","g3","T8","Low",2.33
"C3","Cool","g3","T8","Low",3.84
"C2","Hot","g4","T8","Low",3.24
"C4","Hot","g4","T8","Low",3.68
"C1","Cool","g4","T8","Low",3.8
"C3","Cool","g4","T8","Low",3.58
"C2","Hot","g5","T8","Low",2.47
"C4","Hot","g5","T8","Low",3.15
"C1","Cool","g5","T8","Low",2.73
"C3","Cool","g5","T8","Low",4.15
"C2","Hot","g6","T8","Low",2.89
"C4","Hot","g6","T8","Low",3.91
"C1","Cool","g6","T8","Low",3.54
"C3","Cool","g6","T8","Low",3.15
"C2","Hot","g7","T8","Low",3.31
"C4","Hot","g7","T8","Low",2.84
"C1","Cool","g7","T8","Low",3.32
"C3","Cool","g7","T8","Low",3.81
"C2","Hot","g8","T8","Low",3.17
"C4","Hot","g8","T8","Low",3.13
"C1","Cool","g8","T8","Low",2.97
"C3","Cool","g8","T8","Low",3.42
"C2","Hot","g9","T8","Low",3.73
"C4","Hot","g9","T8","Low",3.28
"C1","Cool","g9","T8","Low",3.16
"C3","Cool","g9","T8","Low",2.87
"C2","Hot","g1","T9","Low",3
"C4","Hot","g1","T9","Low",3.52
"C1","Cool","g1","T9","Low",3.57
"C3","Cool","g1","T9","Low",3.48
"C2","Hot","g2","T9","Low",2.57
"C4","Hot","g2","T9","Low",3.71
"C1","Cool","g2","T9","Low",3.31
"C3","Cool","g2","T9","Low",3.17
"C2","Hot","g3","T9","Low",2.96
"C4","Hot","g3","T9","Low",2.73
"C1","Cool","g3","T9","Low",3.19
"C3","Cool","g3","T9","Low",2.98
"C2","Hot","g4","T9","Low",2.54
"C4","Hot","g4","T9","Low",3.22
"C1","Cool","g4","T9","Low",3.97
"C3","Cool","g4","T9","Low",3.47
"C2","Hot","g5","T9","Low",2.9
"C4","Hot","g5","T9","Low",3.17
"C1","Cool","g5","T9","Low",3.16
"C3","Cool","g5","T9","Low",3.2
"C2","Hot","g6","T9","Low",2.83
"C4","Hot","g6","T9","Low",3.54
"C1","Cool","g6","T9","Low",2.48
"C3","Cool","g6","T9","Low",3.21
"C2","Hot","g7","T9","Low",2.96
"C4","Hot","g7","T9","Low",2.34
"C1","Cool","g7","T9","Low",2.61
"C3","Cool","g7","T9","Low",3.75
"C2","Hot","g8","T9","Low",3.05
"C4","Hot","g8","T9","Low",3.65
"C1","Cool","g8","T9","Low",4.01
"C3","Cool","g8","T9","Low",4.03
"C2","Hot","g9","T9","Low",3.57
"C4","Hot","g9","T9","Low",3.64
"C1","Cool","g9","T9","Low",3.13
"C3","Cool","g9","T9","Low",4.04
"C2","Hot","g1","T10","Low",3.04
"C4","Hot","g1","T10","Low",2.5
"C1","Cool","g1","T10","Low",2.9
"C3","Cool","g1","T10","Low",2.37
"C2","Hot","g2","T10","Low",3.25
"C4","Hot","g2","T10","Low",2.46
"C1","Cool","g2","T10","Low",3.66
"C3","Cool","g2","T10","Low",3.06
"C2","Hot","g3","T10","Low",2.72
"C4","Hot","g3","T10","Low",3.01
"C1","Cool","g3","T10","Low",3.17
"C3","Cool","g3","T10","Low",3.39
"C2","Hot","g4","T10","Low",3.41
"C4","Hot","g4","T10","Low",3.14
"C1","Cool","g4","T10","Low",2.86
"C3","Cool","g4","T10","Low",3.45
"C2","Hot","g5","T10","Low",2.71
"C4","Hot","g5","T10","Low",2.45
"C1","Cool","g5","T10","Low",3.13
"C3","Cool","g5","T10","Low",2.87
"C2","Hot","g6","T10","Low",3.04
"C4","Hot","g6","T10","Low",3.29
"C1","Cool","g6","T10","Low",2.86
"C3","Cool","g6","T10","Low",3.05
"C2","Hot","g7","T10","Low",3.79
"C4","Hot","g7","T10","Low",3.57
"C1","Cool","g7","T10","Low",3.64
"C3","Cool","g7","T10","Low",3
"C2","Hot","g8","T10","Low",3.2
"C4","Hot","g8","T10","Low",3.79
"C1","Cool","g8","T10","Low",3.21
"C3","Cool","g8","T10","Low",2.56
"C2","Hot","g9","T10","Low",3.44
"C4","Hot","g9","T10","Low",2.7
"C1","Cool","g9","T10","Low",2.87
"C3","Cool","g9","T10","Low",3.94
