Plant ,genotype,flat,pot,age_weeks,Height_mm
15,48/48,1,1_1,3,165
23,WT,1,1_2,3,131
9,48/48,1,1_3,3,141
45,WT,1,1_4,3,166
43,WT,1,1_5,3,172
6,48/48,1,1_6,3,155
2,WT,1,1_7,3,134
32,WT,1,1_8,3,140
26,WT,2,2_1,3,130
28,WT,2,2_2,3,116
13,48/48,2,2_3,3,75
42,WT,2,2_4,3,129
24,WT,2,2_5,3,129
29,WT,2,2_6,3,120
10,48/48,2,2_7,3,78
3,48/48,2,2_8,3,85
22,WT,3,3_1,3,100
44,WT,3,3_2,3,92
38,WT,3,3_3,3,83
14,48/48,3,3_4,3,69
1,48/48,3,3_5,3,65
16,48/48,3,3_6,3,76
35,WT,3,3_7,3,101
25,WT,3,3_8,3,93
47,WT,4,4_1,3,121
12,48/48,4,4_2,3,70
20,WT,4,4_3,3,90
33,WT,4,4_4,3,92
19,48/48,4,4_5,3,73
39,WT,4,4_6,3,110
4,48/48,4,4_7,3,80
31,WT,4,4_8,3,72
18,48/48,5,5_1,3,82
34,WT,5,5_2,3,100
8,48/48,5,5_3,3,65
40,WT,5,5_4,3,107
36,48/48,5,5_5,3,81
37,WT,5,5_6,3,114
30,48/48,5,5_7,3,85
7,48/48,5,5_8,3,93
48,WT,6,6_1,3,109
5,48/48,6,6_2,3,76
17,48/48,6,6_3,3,80
21,WT,6,6_4,3,120
41,WT,6,6_5,3,88
11,48/48,6,6_6,3,134
27,WT,6,6_7,3,80
46,WT,6,6_8,3,135
15,48/48,1,1_1,4,290
23,WT,1,1_2,4,265
9,48/48,1,1_3,4,257
45,WT,1,1_4,4,258
43,WT,1,1_5,4,300
6,48/48,1,1_6,4,252
2,WT,1,1_7,4,225
32,WT,1,1_8,4,226
26,WT,2,2_1,4,260
28,WT,2,2_2,4,245
13,48/48,2,2_3,4,161
42,WT,2,2_4,4,249
24,WT,2,2_5,4,252
29,WT,2,2_6,4,252
10,48/48,2,2_7,4,167
3,48/48,2,2_8,4,185
22,WT,3,3_1,4,240
44,WT,3,3_2,4,225
38,WT,3,3_3,4,215
14,48/48,3,3_4,4,170
1,48/48,3,3_5,4,166
16,48/48,3,3_6,4,200
35,WT,3,3_7,4,245
25,WT,3,3_8,4,191
47,WT,4,4_1,4,235
12,48/48,4,4_2,4,195
20,WT,4,4_3,4,192
33,WT,4,4_4,4,210
19,48/48,4,4_5,4,180
39,WT,4,4_6,4,250
4,48/48,4,4_7,4,176
31,WT,4,4_8,4,196
18,48/48,5,5_1,4,180
34,WT,5,5_2,4,240
8,48/48,5,5_3,4,190
40,WT,5,5_4,4,209
36,48/48,5,5_5,4,165
37,WT,5,5_6,4,218
30,48/48,5,5_7,4,200
7,48/48,5,5_8,4,215
48,WT,6,6_1,4,210
5,48/48,6,6_2,4,190
17,48/48,6,6_3,4,190
21,WT,6,6_4,4,241
41,WT,6,6_5,4,225
11,48/48,6,6_6,4,250
27,WT,6,6_7,4,195
46,WT,6,6_8,4,212
15,48/48,1,1_1,5,415
23,WT,1,1_2,5,410
9,48/48,1,1_3,5,400
45,WT,1,1_4,5,395
43,WT,1,1_5,5,460
6,48/48,1,1_6,5,390
2,WT,1,1_7,5,345
32,WT,1,1_8,5,405
26,WT,2,2_1,5,460
28,WT,2,2_2,5,420
13,48/48,2,2_3,5,320
42,WT,2,2_4,5,435
24,WT,2,2_5,5,420
29,WT,2,2_6,5,450
10,48/48,2,2_7,5,300
3,48/48,2,2_8,5,310
22,WT,3,3_1,5,394
44,WT,3,3_2,5,345
38,WT,3,3_3,5,410
14,48/48,3,3_4,5,290
1,48/48,3,3_5,5,290
16,48/48,3,3_6,5,330
35,WT,3,3_7,5,390
25,WT,3,3_8,5,365
47,WT,4,4_1,5,410
12,48/48,4,4_2,5,320
20,WT,4,4_3,5,325
33,WT,4,4_4,5,427
19,48/48,4,4_5,5,320
39,WT,4,4_6,5,445
4,48/48,4,4_7,5,315
31,WT,4,4_8,5,380
18,48/48,5,5_1,5,300
34,WT,5,5_2,5,400
8,48/48,5,5_3,5,320
40,WT,5,5_4,5,400
36,48/48,5,5_5,5,245
37,WT,5,5_6,5,370
30,48/48,5,5_7,5,330
7,48/48,5,5_8,5,350
48,WT,6,6_1,5,360
5,48/48,6,6_2,5,310
17,48/48,6,6_3,5,320
21,WT,6,6_4,5,380
41,WT,6,6_5,5,390
11,48/48,6,6_6,5,370
27,WT,6,6_7,5,340
46,WT,6,6_8,5,380
15,48/48,1,1_1,6,590
23,WT,1,1_2,6,610
9,48/48,1,1_3,6,600
45,WT,1,1_4,6,575
43,WT,1,1_5,6,590
6,48/48,1,1_6,6,587
2,WT,1,1_7,6,520
32,WT,1,1_8,6,520
26,WT,2,2_1,6,670
28,WT,2,2_2,6,605
13,48/48,2,2_3,6,530
42,WT,2,2_4,6,595
24,WT,2,2_5,6,640
29,WT,2,2_6,6,570
10,48/48,2,2_7,6,450
3,48/48,2,2_8,6,500
22,WT,3,3_1,6,470
44,WT,3,3_2,6,530
38,WT,3,3_3,6,570
14,48/48,3,3_4,6,410
1,48/48,3,3_5,6,460
16,48/48,3,3_6,6,495
35,WT,3,3_7,6,520
25,WT,3,3_8,6,530
47,WT,4,4_1,6,570
12,48/48,4,4_2,6,465
20,WT,4,4_3,6,420
33,WT,4,4_4,6,530
19,48/48,4,4_5,6,490
39,WT,4,4_6,6,540
4,48/48,4,4_7,6,460
31,WT,4,4_8,6,495
18,48/48,5,5_1,6,460
34,WT,5,5_2,6,560
8,48/48,5,5_3,6,470
40,WT,5,5_4,6,560
36,48/48,5,5_5,6,420
37,WT,5,5_6,6,510
30,48/48,5,5_7,6,520
7,48/48,5,5_8,6,520
48,WT,6,6_1,6,500
5,48/48,6,6_2,6,450
17,48/48,6,6_3,6,480
21,WT,6,6_4,6,565
41,WT,6,6_5,6,555
11,48/48,6,6_6,6,585
27,WT,6,6_7,6,510
46,WT,6,6_8,6,550
15,48/48,1,1_1,7,700
23,WT,1,1_2,7,700
9,48/48,1,1_3,7,740
45,WT,1,1_4,7,675
43,WT,1,1_5,7,740
6,48/48,1,1_6,7,790
2,WT,1,1_7,7,720
32,WT,1,1_8,7,680
26,WT,2,2_1,7,770
28,WT,2,2_2,7,690
13,48/48,2,2_3,7,670
42,WT,2,2_4,7,760
24,WT,2,2_5,7,720
29,WT,2,2_6,7,710
10,48/48,2,2_7,7,590
3,48/48,2,2_8,7,630
22,WT,3,3_1,7,640
44,WT,3,3_2,7,700
38,WT,3,3_3,7,660
14,48/48,3,3_4,7,580
1,48/48,3,3_5,7,590
16,48/48,3,3_6,7,640
35,WT,3,3_7,7,670
25,WT,3,3_8,7,660
47,WT,4,4_1,7,635
12,48/48,4,4_2,7,610
20,WT,4,4_3,7,590
33,WT,4,4_4,7,610
19,48/48,4,4_5,7,600
39,WT,4,4_6,7,670
4,48/48,4,4_7,7,580
31,WT,4,4_8,7,635
18,48/48,5,5_1,7,670
34,WT,5,5_2,7,740
8,48/48,5,5_3,7,660
40,WT,5,5_4,7,690
36,48/48,5,5_5,7,645
37,WT,5,5_6,7,675
30,48/48,5,5_7,7,625
7,48/48,5,5_8,7,645
48,WT,6,6_1,7,640
5,48/48,6,6_2,7,590
17,48/48,6,6_3,7,610
21,WT,6,6_4,7,640
41,WT,6,6_5,7,670
11,48/48,6,6_6,7,740
27,WT,6,6_7,7,620
46,WT,6,6_8,7,665
15,48/48,1,1_1,9,870
23,WT,1,1_2,9,880
9,48/48,1,1_3,9,810
45,WT,1,1_4,9,875
43,WT,1,1_5,9,950
6,48/48,1,1_6,9,900
2,WT,1,1_7,9,850
32,WT,1,1_8,9,850
26,WT,2,2_1,9,910
28,WT,2,2_2,9,900
13,48/48,2,2_3,9,830
42,WT,2,2_4,9,810
24,WT,2,2_5,9,810
29,WT,2,2_6,9,820
10,48/48,2,2_7,9,800
3,48/48,2,2_8,9,775
22,WT,3,3_1,9,730
44,WT,3,3_2,9,770
38,WT,3,3_3,9,810
14,48/48,3,3_4,9,800
1,48/48,3,3_5,9,710
16,48/48,3,3_6,9,790
35,WT,3,3_7,9,790
25,WT,3,3_8,9,780
47,WT,4,4_1,9,750
12,48/48,4,4_2,9,740
20,WT,4,4_3,9,710
33,WT,4,4_4,9,730
19,48/48,4,4_5,9,690
39,WT,4,4_6,9,800
4,48/48,4,4_7,9,710
31,WT,4,4_8,9,710
18,48/48,5,5_1,9,710
34,WT,5,5_2,9,870
8,48/48,5,5_3,9,780
40,WT,5,5_4,9,795
36,48/48,5,5_5,9,730
37,WT,5,5_6,9,800
30,48/48,5,5_7,9,800
7,48/48,5,5_8,9,820
48,WT,6,6_1,9,810
5,48/48,6,6_2,9,750
17,48/48,6,6_3,9,730
21,WT,6,6_4,9,785
41,WT,6,6_5,9,790
11,48/48,6,6_6,9,830
27,WT,6,6_7,9,780
46,WT,6,6_8,9,760
